hex_id,geometry,geom_time_min_5
8a1f99cd8b2ffff,"POLYGON ((514686.7288720664 5034245.22927061, 514760.6576387866 5034269.855964133, 514815.4131852533 5034220.677780982, 514808.0346991972 5034192.275320717, 514672.88964515453 5034191.958327318, 514686.7288720664 5034245.22927061))","POLYGON ((514805.5050523634 5034184.294513791, 514737.192124288 5034206.897709585, 514728.5456087876 5034220.120194122, 514731.9106786633 5034262.067177476, 514805.5050523634 5034184.294513791))"
8a1f99cd8b27fff,"POLYGON ((514538.8719992451 5034195.976115403, 514558.04602747853 5034269.780487885, 514631.97418022074 5034294.407072533, 514686.7288720664 5034245.22927061, 514672.88964515453 5034191.958327318, 514543.67969950545 5034191.657972803, 514538.8719992451 5034195.976115403))","POLYGON ((514672.496804923 5034237.331316007, 514630.9982154028 5034240.8674335, 514585.9663788903 5034261.049053423, 514620.9734793183 5034278.69482873, 514631.4139982921 5034283.9073554035, 514653.52500086435 5034286.51410412, 514670.25477377715 5034243.2808776535, 514672.496804923 5034237.331316007))"
8a1f99cdd49ffff,"POLYGON ((514503.29219027224 5034318.957908581, 514558.04602747853 5034269.780487885, 514538.8719992451 5034195.976115403, 514528.6473526285 5034192.570082598, 514522.0796510503 5034193.528406341, 514512.5542232851 5034195.890460351, 514503.30619758146 5034199.1748314975, 514494.4246445169 5034203.349886995, 514485.99510505865 5034208.375415602, 514478.09876669175 5034214.203014905, 514470.811681478 5034220.776557506, 514464.20403357426 5034228.032731598, 514458.3394632683 5034235.901650733, 514453.27445403923 5034244.307526938, 514449.0577885475 5034253.169400633, 514445.73007879395 5034262.401920389, 514443.3233749746 5034271.916164972, 514441.86085679283 5034281.620499768, 514441.35661021125 5034291.421459344, 514441.34064566885 5034298.320760689, 514503.29219027224 5034318.957908581))","POLYGON ((514485.28523002315 5034224.07642567, 514478.6340855293 5034297.8516766345, 514489.3827962451 5034322.017814406, 514545.507587814 5034291.695800035, 514510.093175197 5034243.853359906, 514485.28523002315 5034224.07642567))"
8a1f99cdd4d7fff,"POLYGON ((514725.0761277708 5034392.837799553, 514779.831146307 5034343.66047366, 514760.6576387866 5034269.855964133, 514686.7288720664 5034245.22927061, 514631.97418022074 5034294.407072533, 514651.1479284068 5034368.211091954, 514725.0761277708 5034392.837799553))","POLYGON ((514737.0783457392 5034328.759684789, 514730.2986671888 5034372.771515363, 514737.6391502403 5034389.653245875, 514745.7445091529 5034380.406772877, 514737.0783457392 5034328.759684789))"
8a1f99cdd48ffff,"POLYGON ((514631.97418022074 5034294.407072533, 514558.04602747853 5034269.780487885, 514503.29219027224 5034318.957908581, 514522.4661791178 5034392.761437903, 514596.3937645105 5034417.388036624, 514651.1479284068 5034368.211091954, 514631.97418022074 5034294.407072533))","POLYGON ((514588.34500952036 5034266.942712255, 514585.9270410905 5034267.892533314, 514583.4110555338 5034270.653007892, 514566.88984512317 5034298.40003427, 514566.00022921944 5034304.441645732, 514567.6355938106 5034310.577987642, 514603.79166363005 5034351.78999625, 514610.67996321834 5034354.83895463, 514614.4511662403 5034353.558999189, 514636.88036291965 5034326.8590546185, 514639.2822366868 5034319.387824715, 514620.0359447737 5034285.147379799, 514588.34500952036 5034266.942712255))"
8a1f99cdd487fff,"POLYGON ((514467.7128698772 5034441.93800135, 514522.4661791178 5034392.761437903, 514503.29219027224 5034318.957908581, 514441.34064566885 5034298.320760689, 514441.0288899466 5034433.048933949, 514467.7128698772 5034441.93800135))","POLYGON ((514490.8449739968 5034342.263048226, 514480.48529783456 5034342.672446132, 514427.63880897366 5034351.760831136, 514427.04145130474 5034356.558847426, 514434.0288487605 5034384.571322148, 514442.72734008543 5034399.389421109, 514508.0678921009 5034396.418109658, 514490.8449739968 5034342.263048226))"
8a1f99cdd4f7fff,"POLYGON ((514596.3937645105 5034417.388036624, 514615.5674732934 5034491.191212844, 514689.4951052852 5034515.817934499, 514744.2495958658 5034466.641465883, 514725.0761277708 5034392.837799553, 514651.1479284068 5034368.211091954, 514596.3937645105 5034417.388036624))","POLYGON ((514659.343407477 5034426.487620576, 514643.04905766953 5034454.20165338, 514643.07082813734 5034454.923834436, 514702.8066321726 5034478.227037289, 514705.3725619638 5034474.155782237, 514673.1927268469 5034428.130849687, 514659.343407477 5034426.487620576))"
8a1f99cdd4affff,"POLYGON ((514596.3937645105 5034417.388036624, 514522.4661791178 5034392.761437903, 514467.7128698772 5034441.93800135, 514486.88681934524 5034515.740687469, 514560.81383736845 5034540.367300241, 514615.5674732934 5034491.191212844, 514596.3937645105 5034417.388036624))","POLYGON ((514538.0476581803 5034424.172757424, 514498.186549799 5034470.785827128, 514497.88132597937 5034474.318006396, 514527.52830147545 5034500.472044692, 514585.13764391886 5034523.791434265, 514590.5598388894 5034525.20384385, 514607.4616278117 5034481.504230855, 514539.9768989576 5034424.932680345, 514538.0476581803 5034424.172757424))"
8a1f99cdd41ffff,"POLYGON ((514579.9875067587 5034614.169633223, 514653.9145713628 5034638.796368914, 514708.66853396624 5034589.62075759, 514689.4951052852 5034515.817934499, 514615.5674732934 5034491.191212844, 514560.81383736845 5034540.367300241, 514579.9875067587 5034614.169633223))","POLYGON ((514697.77815640625 5034505.678448325, 514603.20092016296 5034538.709272387, 514586.2895662288 5034613.549365095, 514627.90265469707 5034576.5508129075, 514697.77815640625 5034505.678448325))"
8a1f99cdd417fff,"POLYGON ((514451.3079481892 5034638.718236529, 514525.23439883 5034663.34486333, 514579.9875067587 5034614.169633223, 514560.81383736845 5034540.367300241, 514486.88681934524 5034515.740687469, 514440.7416372207 5034557.1854750775, 514440.6479158896 5034597.686733788, 514451.3079481892 5034638.718236529))","POLYGON ((514545.12892043893 5034549.862037355, 514502.17748385435 5034570.726763776, 514503.29974163 5034585.782995206, 514504.0739811226 5034592.428382004, 514506.38795365003 5034609.37601422, 514545.8691895413 5034631.953316233, 514545.12892043893 5034549.862037355))"
8a1f99cd8b6ffff,"POLYGON ((515018.0289616318 5034220.752930269, 515037.20198781247 5034294.558420019, 515111.13202898495 5034319.185454259, 515165.8896113523 5034270.006984664, 515146.7168258458 5034196.201004797, 515137.28698909376 5034193.059773303, 515049.09897648945 5034192.847971544, 515018.0289616318 5034220.752930269))","POLYGON ((515092.2842094419 5034127.70619467, 514967.6036241215 5034158.937326884, 514963.48899075517 5034163.182541662, 514968.7867042171 5034174.282633342, 515069.7423217387 5034265.501212468, 515090.93400876987 5034283.005400971, 515118.1317079417 5034302.957131862, 515127.9723947493 5034277.861785444, 515119.05120189796 5034232.723833696, 515095.27260582894 5034130.190833991, 515092.2842094419 5034127.70619467))"
8a1f99cd8b67fff,"POLYGON ((514944.09896701016 5034196.126018994, 514889.34256593353 5034245.304583382, 514908.51583278604 5034319.109583016, 514982.4452600405 5034343.736508373, 515037.20198781247 5034294.558420019, 515018.0289616318 5034220.752930269, 514944.09896701016 5034196.126018994))","POLYGON ((514969.644931929 5034201.281237095, 514931.216140629 5034271.591958921, 515022.5076170082 5034245.15736343, 514978.8824738016 5034202.725288906, 514969.644931929 5034201.281237095))"
